SBBE,BEL,Val de Cans,-137.925.005,-4.847.629.929,54,Belem
SBBR,BSB,Presidente Juscelino Kubistschek International Airport,-1.586.916.733,-4.792.083.359,3497,Brasilia
SBCF,CNF,Tancredo Neves International Airport,-1.962.444.305,-439.719.429,2715,Belo Horizonte
SBCT,CWB,Afonso Pena Airport,-255.284.996,-4.917.580.032,2988,Curitiba
SBFL,FLN,Hercilio Luz International Airport,-2.767.027.855,-4.855.250.168,16,Florianopolis
SBGL,GIG,Rio Galeao ,-2.280.999.947,-4.325.055.695,28,Rio De Janeiro
SBGR,GRU,Guarulhos - Governador Andre Franco Montoro International Airport,-2.343.555.641,-4.647.305.679,2459,Sao Paulo
SBSG,NAT,Governador Aluizio Alves International Airport,-5.768.056,-35.376.111,272,Natal
SBSP,CGH,Congonhas Airport,-2.362.611.008,-4.665.638.733,2631,Sao Paulo
SBSV,SSA,Deputado Luiz Eduardo Magalhaes International Airport,-129.086.113,-3.832.249.832,64,Salvador
JJD,JJD,Comandante Ariston Pessoa Airport,-2.906.425,-40.357.338,89,Jijoca de Jericoacoara
SBAC,ARX,Aracati Airport,-4.568.611,-37.804.722,128,Aracati
SBAF,,Campo Delio Jardim de Mattos Airport,-22.875.099,-43.384.701,110,Rio De Janeiro
SBAQ,AQA,Araraquara Airport,-2.181.200.027,-4.813.299.942,2334,Araraquara
SBAR,AJU,Santa Maria Airport,-1.098.400.021,-3.707.030.106,23,Aracaju
SBAT,AFL,Piloto Osvaldo Marques Dias Airport,-9.866.389.275,-5.610.499.954,948,Alta Floresta
SBBH,PLU,Pampulha - Carlos Drummond de Andrade Airport,-198.512.001,-4.395.059.967,2589,Belo Horizonte
SBBI,BFH,Bacacheri Airport,-2.540.509.987,-4.923.199.844,3057,Curitiba
SBBQ,,Major Brigadeiro Doorgal Borges Airport,-212.672,-43.761.101,3657,Barbacena
SBBT,BAT,Chafei Amsei Airport,-2.058.449.936,-4.859.410.095,1898,Barretos
SBBU,BAU,Bauru Airport,-2.234.499.931,-4.905.379.868,2025,Bauru
SBBV,BVB,Atlas Brasil Cantanhede Airport,2.841.388.941,-606.922.226,276,Boa Vista
SBBZ,BZC,Umberto Modiano Airport,-22.770.881,-4.196.308,10,Cabo Frio
SBCA,CAC,Cascavel Airport,-2.500.029.945,-5.350.080.109,2473,Cascavel
SBCC,,Cachimbo Airport,-9.333.939.552,-549.654.007,1762,Novo Progresso
SBCG,CGR,Campo Grande Airport,-2.046.870.041,-5.467.250.061,1833,Campo Grande
SBCH,XAP,Serafin Enoss Bertaso Airport,-2.713.419.914,-5.265.660.095,2146,Chapecó
SBCI,CLN,Brig. Lysias Augusto Rodrigues Airport,-7.320.439.816,-4.745.869.827,565,Carolina
SBCO,,Canoas Air Force Base,-29.945.928,-51.144.413,26,Porto Alegre
SBCP,CAW,Bartolomeu Lisandro Airport,-2.169.829.941,-4.130.170.059,57,Campos Dos Goytacazes
SBCV,CRQ,Caravelas Airport,-1.765.229.988,-3.925.310.135,36,Caravelas
SBCX,CXJ,Hugo Cantergiani Regional Airport,-2.919.709.969,-511.875,2472,Caxias Do Sul
SBCY,CGB,Marechal Rondon Airport,-1.565.289.974,-5.611.669.922,617,Cuiaba
SBCZ,CZS,Cruzeiro do Sul Airport,-7.599.909.782,-7.276.950.073,637,Cruzeiro Do Sul
SBDN,PPB,Presidente Prudente Airport,-2.217.510.033,-5.142.459.869,1477,Presidente Prudente
SBEG,MAO,Eduardo Gomes International Airport,-3.038.609.982,-6.004.970.169,264,Manaus
SBEK,JCR,Jacareacanga Airport,-6.233.160.019,-5.777.690.125,323,Jacareacanga
SBFI,IGU,Cataratas International Airport,-2.560.027.885,-5.448.500.061,786,Foz Do Iguacu
SBFN,FEN,Fernando de Noronha Airport,-385.493,-32.423.302,193,Fernando De Noronha
SBFZ,FOR,Pinto Martins International Airport,-3.776.279.926,-385.326.004,82,Fortaleza
SBGO,GYN,Santa Genoveva Airport,-1.663.199.997,-4.922.069.931,2450,Goiania
SBHT,ATM,Altamira Airport,-3.253.910.065,-5.225.400.162,369,Altamira
SBIC,ITA,Itacoatiara Airport,-312.725.997,-5.848.120.117,142,Itacoatiara
