470,GULFSTREAM AEROSPACE (GRUMMAN),GULFSTREAM I,G-159
483,DEHAVILLAND,DEHAVILLAND DHC8-100 DASH-8,DASH8-1
486,SHORT BROS.,SHORTS HARLAND SC-7 SKYVAN,SKYVAN
487,SHORT BROS.,SHORTS 330,SHORT330
489,SHORT BROS.,SHORTS 360,SHORT360
507,ANTONOV DESIGN BUREAU,ANTONOV 12,AN-12
556,LOCKHEED,LOCKHEED L100-30/L-382E,HERCULES
608,BOEING,BOEING 717-200,B717-2
612,BOEING,BOEING 737-700/700LR,B737-7
614,BOEING,BOEING 737-800,B737-8
616,BOEING,BOEING 737-500,B737-5
617,BOEING,BOEING 737-400,B737-4
619,BOEING,BOEING 737-300,B737-3
621,BOEING,BOEING 737-200C,B737-2C
622,BOEING,BOEING 757-200,B757-2
623,BOEING,BOEING 757-300,B757-3
624,BOEING,BOEING 767-400/ER,B767-4
625,BOEING,BOEING 767-200/ER/EM,B767-2/R
626,BOEING,BOEING 767-300/300ER,B767-3/R
627,BOEING,BOEING 777-200/200LR/233LR,B777-2
628,CANADAIR,CANADAIR RJ-100/RJ-100ER,RJ100/ER
629,CANADAIR,CANADAIR RJ-200ER /RJ-440,CRJ-2/4
631,CANADAIR,CANADAIR RJ-700,RJ-700
633,BOEING,BOEING 737-600,B737-6
635,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-15F,DC-9-15F
640,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-30,DC-9-30
650,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-50,DC-9-50
654,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 87,MD-87
655,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 80/MD81/82/83/88,MD-80
656,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-90,MD-90
647,CESSNA,CESSNA CITATION X MODEL CE750 X,CE-750X
775,DASSAULT FALCON,DASSAULT FALCON 7X,7X
882,AIRBUS INDUSTRIE,AIRBUS INDUSTRAI A380-800,A380-8
684,RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT HAWKER 800XP,800XP
606,RAYTHEON BEECHCRAFT,RAYTHEON BEECHRAFT 390 PREMIER I,PREMIER
686,BOMBARDIER,LEARJET45,LEAR-45
671,GULFSTREAM,GULFSTREAM G450,G450
415,CESSNA,CESSNA C208B/GRAND CARAVAN,CE-208B
620,BOEING,BOEING 737-100/200,B737-1/2
482,DEHAVILLAND,DEHAVILLAND DHC8-400 DASH-8,DASH8-Q4
679,GULFSTREAM,GRUMMAN G-1159 GULFSTREAM II/III,G-III
609,BOMBARDIER,BOMBARDIER BD-100-1A10 CHALLENGER 300,BD-300
637,BOEING,BOEING 777-300/300ER/333ER,B777-3
